respondent_id,leader
268,Elijah Meeks
268,Manuel Lima
268,Robert Kosara
268,Fernanda Viégas
268,Martin Wattenberg
268,Nicholas Felton
268,Jer Thorp
269,Nadieh bremer
269,Jan Willem Tulp
270,Tableau Zen Masters
275,538
276,Alberto Cairo
277,Alberto Cairo
278,Andy Cotgreave
278,Nadieh Bremer
279,Andy Kirk
280,Bridget Cogley
281,Cole Knaflic
281,Jon Schwabish
281,Alberto Cairo
281,Andy Kirk
282,Edward Tufte
283,Edward Tufte
283,Mike Bostock
283,Grant Sanderson
284,Elijah Meeks
284,Nadieh Bremer
285,Elijah Meeks
285,Susie Lu
285,Noah Veltman
285,Alberto Cario
285,Robert Kosara
285,Moritz Stefaner
285,Nadieh Bremer
285,Kim Rees
285,Steven Few
285,Edward Tufte
286,Giorgia Lupi
287,Mike Bostock
288,Mike Bostock
288,Elijah Meeks
289,Mike Bostock
289,Elijah Meeks
290,Nadieh Bremer
290,Lisa Charlotte Rost
290,Moritz Stefaner
290,Aditya Jain
290,Mahir Yavuz
291,Nadieh Bremer
291,mike Bostock
291,Lisa Charlotte Rost
291,Jason Davies
291,Jan Willem Tulp
292,Stephanie Evergreen
292,Ann Emery
292,Alberto Cairo
293,Stephen Few
294,The Infolab
308,Hadley Wickham
308,Alberto Cairo
309,Alberto Cairo
310,Elijah Meeks
310,Mike Bostock
310,New York Times
310,Nadieh Bremer
310,Shirley Wu
310,Alberto Cairo
310,Anya A Hearn
310,Cole Knaflic
311,Hadley Wickham
311,Mara Averick
311,538
312,Leland Wilkinson
312,Mike Bostock
316,Mike Bostock
317,Edward Tufte
318,Enrico Bertini
318,Kaiser Fung
318,Nathan Yau
318,Alberto Cairo
318,Stephanie Evergreen
319,Giorgia Lupi
320,OpenVisConf
326,Giorgia Lupi
327,Edward Tufte
327,David McCandless
327,Alberto Cairo
327,Mona Chalabi
327,Giorgia Lupi
327,Mike Bostock
328,Mike Bostock
329,Mike Bostock
329,Alberto Cairo
329,Nathan Yau
329,New York Times
329,Washington Post
330,Nathan Yau
334,Mike Bostock
334,Alberto Cairo
335,Mike Bostock
335,Elijah Meeks
335,Micah Stubbs
339,Alberto Cairo
340,Alberto Cairo
341,Alberto Cairo
341,Stephen Few
342,Andy Kriebel
343,Anya A'Hearn
343,Jonathan Drummey
343,Matt Chambers
343,Ryan Sleeper
343,Joshua Mulligan
343,Ken Flerlage
344,David Mccandless
345,Edward tufte
345,Flowing Data
346,Elijah Meeks
347,Elijah Meeks
347,Adam Pearce
347,Nadieh Bremer
347,Alberto Cairo
347,Dominicus Bauer
348,Elijah Meeks
348,Lisa Charlotte Rost
348,Robert Kosara
349,Hadley Wickham
349,Nadieh Bremer
349,Lisa Charlotte Rost
349,Gregor Aisch
349,Jerome Cukier
349,@hardmaru
349,Micah Stubbs
349,Chris Olah
350,Mike Bostock
350,Alberto Cairo
350,Scott Murray
350,Gregor Aisch
351,Mike Bostock
351,Edward Tufte
352,Nadieh Bremer
353,New York Times
353,Washington Post
